customer_id,line_total,cost_total,profit,legal_name,person_type
740,1221425.34,691767.92,529657.42,Freitas Ltda,PJ
177,1157948.54,651801.06,506147.48,Alexia Pimenta,PF
1430,1091963.09,598133.04,493830.05,Milena Alves,PF
1493,1073662.38,592592.35,481070.02999999997,Levi Dias,PF
1563,1111177.3699999999,630591.28,480586.08999999997,Ana Cecília da Cruz,PF
643,1101387.55,622516.76,478870.79,Davi Lucas Montenegro,PF
1434,1063845.25,594744.98,469100.27,Clarice Moura,PF
1730,1101887.12,636315.12,465572.0,Arthur Gabriel Ramos,PF
635,1076564.07,614229.86,462334.21,Sr. Nicolas da Luz,PF
876,1025683.72,567158.83,458524.89,Luiz Otávio da Cunha,PF
229,1086582.64,634944.64,451638.0,Ian Câmara,PF
633,1082203.82,631675.73,450528.08999999997,Sra. Mariah Moura,PF
428,1016955.14,566684.1,450271.04000000004,Peixoto Guerra S/A ME,PJ
934,995077.9400000001,546216.08,448861.86,Théo da Conceição,PF
870,1049190.1,600739.92,448450.18,da Rosa ME,PJ
1947,1044127.95,598104.15,446023.8,Amanda Abreu,PF
803,1041953.3,595979.01,445974.29,Joana Novais,PF
1722,1081395.0,637094.67,444300.33,Marcela Câmara,PF
464,1053872.19,610812.93,443059.26,Mendonça ME,PJ
501,997861.92,560312.81,437549.11,Luiza Rodrigues,PF
